% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
703	1	2	50	0	20	161	0	1	0
703	1	9	39	0	20	161	0	1	0
703	2	13	94	0	20	161	0	1	1
703	2	3	96	0	20	161	0	1	1
704	1	10	63	0	20	161	0	1	0
704	1	11	58	0	20	161	0	1	0
704	2	14	1	0	20	161	0	1	1
704	2	15	12	0	20	161	0	1	1
705	1	4	78	0	20	161	0	1	0
705	1	8	71	0	20	161	0	1	0
705	2	5	20	0	20	161	0	1	1
705	2	7	29	0	20	161	0	1	1
706	1	1	87	0	20	161	0	1	0
706	1	12	82	0	20	161	0	1	0
706	2	9	39	0	20	161	0	1	1
706	2	2	50	0	20	161	0	1	1
707	1	6	91	0	20	161	0	1	0
707	1	13	94	0	20	161	0	1	0
707	2	11	58	0	20	161	0	1	1
707	2	10	63	0	20	161	0	1	1
708	1	3	96	0	20	161	0	1	0
708	1	14	1	0	20	161	0	1	0
708	2	8	71	0	20	161	0	1	1
708	2	4	78	0	20	161	0	1	1
709	1	5	20	0	20	161	0	1	0
709	1	15	12	0	20	161	0	1	0
709	2	12	82	0	20	161	0	1	1
709	2	1	87	0	20	161	0	1	1
710	1	7	29	0	20	161	0	1	0
710	1	9	39	0	20	161	0	1	0
710	2	6	91	0	20	161	0	1	1
710	2	13	94	0	20	161	0	1	1
711	1	2	50	0	20	161	0	1	0
711	1	11	58	0	20	161	0	1	0
711	2	14	1	0	20	161	0	1	1
711	2	3	96	0	20	161	0	1	1
712	1	8	71	0	20	161	0	1	0
712	1	10	63	0	20	161	0	1	0
712	2	15	12	0	20	161	0	1	1
712	2	5	20	0	20	161	0	1	1
713	1	4	78	0	20	161	0	1	0
713	1	12	82	0	20	161	0	1	0
713	2	7	29	0	20	161	0	1	1
713	2	9	39	0	20	161	0	1	1
714	1	1	87	0	20	161	0	1	0
714	1	6	91	0	20	161	0	1	0
714	2	2	50	0	20	161	0	1	1
714	2	11	58	0	20	161	0	1	1
715	1	3	96	0	20	161	0	1	0
715	1	13	94	0	20	161	0	1	0
715	2	10	63	0	20	161	0	1	1
715	2	8	71	0	20	161	0	1	1
716	1	14	1	0	20	161	0	1	0
716	1	15	12	0	20	161	0	1	0
716	2	4	78	0	20	161	0	1	1
716	2	12	82	0	20	161	0	1	1
717	1	5	20	0	20	161	0	1	0
717	1	7	29	0	20	161	0	1	0
717	2	1	87	0	20	161	0	1	1
717	2	6	91	0	20	161	0	1	1
718	1	2	50	0	20	161	0	1	0
718	1	9	39	0	20	161	0	1	0
718	2	13	94	0	20	161	0	1	1
718	2	3	96	0	20	161	0	1	1
719	1	10	63	0	20	161	0	1	0
719	1	11	58	0	20	161	0	1	0
719	2	14	1	0	20	161	0	1	1
719	2	15	12	0	20	161	0	1	1
720	1	4	78	0	20	161	0	1	0
720	1	8	71	0	20	161	0	1	0
720	2	5	20	0	20	161	0	1	1
720	2	7	29	0	20	161	0	1	1
721	1	1	87	0	20	161	0	1	0
721	1	12	82	0	20	161	0	1	0
721	2	9	39	0	20	161	0	1	1
721	2	2	50	0	20	161	0	1	1
722	1	6	91	0	20	161	0	1	0
722	1	13	94	0	20	161	0	1	0
722	2	11	58	0	20	161	0	1	1
722	2	10	63	0	20	161	0	1	1
723	1	3	96	0	20	161	0	1	0
723	1	14	1	0	20	161	0	1	0
723	2	8	71	0	20	161	0	1	1
723	2	4	78	0	20	161	0	1	1
724	1	5	20	0	20	161	0	1	0
724	1	15	12	0	20	161	0	1	0
724	2	12	82	0	20	161	0	1	1
724	2	1	87	0	20	161	0	1	1
725	1	7	29	0	20	161	0	1	0
725	1	9	39	0	20	161	0	1	0
725	2	6	91	0	20	161	0	1	1
725	2	13	94	0	20	161	0	1	1
726	1	2	50	0	20	161	0	1	0
726	1	11	58	0	20	161	0	1	0
726	2	14	1	0	20	161	0	1	1
726	2	3	96	0	20	161	0	1	1
727	1	8	71	0	20	161	0	1	0
727	1	10	63	0	20	161	0	1	0
727	2	15	12	0	20	161	0	1	1
727	2	5	20	0	20	161	0	1	1
728	1	4	78	0	20	161	0	1	0
728	1	12	82	0	20	161	0	1	0
728	2	7	29	0	20	161	0	1	1
728	2	9	39	0	20	161	0	1	1
729	1	1	87	0	20	161	0	1	0
729	1	6	91	0	20	161	0	1	0
729	2	2	50	0	20	161	0	1	1
729	2	11	58	0	20	161	0	1	1
730	1	3	96	0	20	161	0	1	0
730	1	13	94	0	20	161	0	1	0
730	2	10	63	0	20	161	0	1	1
730	2	8	71	0	20	161	0	1	1
731	1	14	1	0	20	161	0	1	0
731	1	15	12	0	20	161	0	1	0
731	2	4	78	0	20	161	0	1	1
731	2	12	82	0	20	161	0	1	1
732	1	5	20	0	20	161	0	1	0
732	1	7	29	0	20	161	0	1	0
732	2	1	87	0	20	161	0	1	1
732	2	6	91	0	20	161	0	1	1
733	1	2	50	0	20	161	0	1	0
733	1	9	39	0	20	161	0	1	0
733	2	13	94	0	20	161	0	1	1
733	2	3	96	0	20	161	0	1	1
734	1	10	63	0	20	161	0	1	0
734	1	11	58	0	20	161	0	1	0
734	2	14	1	0	20	161	0	1	1
734	2	15	12	0	20	161	0	1	1
735	1	4	78	0	20	161	0	1	0
735	1	8	71	0	20	161	0	1	0
735	2	5	20	0	20	161	0	1	1
735	2	7	29	0	20	161	0	1	1
736	1	1	87	0	20	161	0	1	0
736	1	12	82	0	20	161	0	1	0
736	2	9	39	0	20	161	0	1	1
736	2	2	50	0	20	161	0	1	1
737	1	6	91	0	20	161	0	1	0
737	1	13	94	0	20	161	0	1	0
737	2	11	58	0	20	161	0	1	1
737	2	10	63	0	20	161	0	1	1
738	1	3	96	0	20	161	0	1	0
738	1	14	1	0	20	161	0	1	0
738	2	8	71	0	20	161	0	1	1
738	2	4	78	0	20	161	0	1	1
739	1	5	20	0	20	161	0	1	0
739	1	15	12	0	20	161	0	1	0
739	2	12	82	0	20	161	0	1	1
739	2	1	87	0	20	161	0	1	1
740	1	7	29	0	20	161	0	1	0
740	1	9	39	0	20	161	0	1	0
740	2	6	91	0	20	161	0	1	1
740	2	13	94	0	20	161	0	1	1
741	1	2	50	0	20	161	0	1	0
741	1	11	58	0	20	161	0	1	0
741	2	14	1	0	20	161	0	1	1
741	2	3	96	0	20	161	0	1	1
742	1	8	71	0	20	161	0	1	0
742	1	10	63	0	20	161	0	1	0
742	2	15	12	0	20	161	0	1	1
